Date,Open,High,Low,Close
11/29/2021,25.31,25.69,21.71,22.96
11/26/2021,26.62,28.99,23.88,28.62
11/25/2021,19.17,20.96,18.52,18.58
11/24/2021,19.17,20.96,18.52,18.58
11/23/2021,20.24,20.91,19.03,19.38
11/22/2021,18.2,19.59,17.35,19.17
11/19/2021,17.36,19.01,17.23,17.91
11/18/2021,16.81,18.15,16.38,17.59
11/17/2021,16.36,17.19,16.28,17.11
11/16/2021,16.86,17.08,16.03,16.37
11/15/2021,17.03,17.46,16.49,16.49
11/12/2021,17.49,17.69,16.15,16.29
11/11/2021,18.34,18.39,17.27,17.66
11/10/2021,17.74,19.9,17.22,18.73
11/9/2021,17.43,18.57,17.21,17.78
11/8/2021,17.23,17.69,16.44,17.22
11/5/2021,15.59,17.02,14.95,16.48
11/4/2021,15.06,16.14,14.73,15.44
11/3/2021,16.11,16.39,14.9,15.1
11/2/2021,16.54,16.65,15.89,16.03
11/1/2021,16.85,17.7,16.32,16.41
10/29/2021,17.4,18.06,16.13,16.26
10/28/2021,17.06,17.16,16.23,16.53
10/27/2021,15.79,17.29,15.54,16.98
10/26/2021,15.02,16.71,14.9,15.98
10/25/2021,16.14,16.33,15.1,15.24
10/22/2021,15.35,16.39,14.84,15.43
10/21/2021,16.06,16.11,14.92,15.01
10/20/2021,15.82,15.89,15.29,15.49
10/19/2021,16.09,16.31,15.57,15.7
10/18/2021,17.29,17.93,16.27,16.31
10/15/2021,16.64,16.85,15.72,16.3
10/14/2021,18.01,18.08,16.8,16.86
10/13/2021,20.14,20.23,18.44,18.64
10/12/2021,20.62,20.81,18.97,19.85
10/11/2021,19.93,20.45,18.11,20
10/8/2021,19.46,19.94,18.2,18.77
10/7/2021,20.54,20.76,19.07,19.54
10/6/2021,22.95,24.4,20.99,21
10/5/2021,22.92,23.17,20.62,21.3
10/4/2021,22.9,24.58,21.88,22.96
10/1/2021,24.78,24.89,20.64,21.15
9/30/2021,21.48,24.71,20.6,23.14
9/29/2021,22.07,23.79,21.45,22.56
9/28/2021,19.74,24.82,19.71,23.25
9/27/2021,17.78,19.32,17.74,18.76
9/24/2021,19.33,20.41,17.63,17.75
9/23/2021,19.91,20.21,18.42,18.63
9/22/2021,22.72,23.4,20.75,20.87
9/21/2021,23.41,25.6,21.71,24.36
9/20/2021,24.25,28.79,23.9,25.71
9/17/2021,18.37,21.51,18.35,20.81
9/16/2021,18.41,19.76,17.65,18.69
9/15/2021,19.3,20.27,18.01,18.18
9/14/2021,19.58,20.47,18.39,19.46
9/13/2021,19.64,21.18,18.76,19.37
9/10/2021,17.94,21.13,16.99,20.95
9/9/2021,19.44,19.54,17.17,18.8
9/8/2021,18.97,19.64,17.78,17.96
9/7/2021,16.94,18.39,16.89,18.14
9/3/2021,16.27,17.06,16.08,16.41
9/2/2021,16.27,16.98,15.73,16.41
9/1/2021,16.06,16.71,15.68,16.11
8/31/2021,15.98,17.07,15.91,16.48
8/30/2021,16.77,16.8,15.98,16.19
8/27/2021,17.95,18.22,16.11,16.39
8/26/2021,17.46,19.27,17.16,18.84
8/25/2021,17.42,17.5,16.46,16.79
8/24/2021,16.96,17.51,16.94,17.22
8/23/2021,18.83,18.95,16.95,17.15
8/20/2021,22.74,23.9,18.18,18.56
8/19/2021,23.12,24.74,20.37,21.67
8/18/2021,17.56,21.64,17.31,21.57
8/17/2021,17.31,19.56,16.71,17.91
8/16/2021,17.05,17.71,16.02,16.12
8/13/2021,15.68,15.72,15.19,15.45
8/12/2021,16.33,16.42,15.49,15.59
8/11/2021,16.81,17.09,15.87,16.06
8/10/2021,16.82,17.05,16.34,16.79
8/9/2021,17.12,17.39,16.59,16.72
8/6/2021,17.46,17.5,16.14,16.15
8/5/2021,17.73,17.84,17.23,17.28
8/4/2021,18.23,18.9,17.67,17.97
8/3/2021,19.17,20.44,17.7,18.04
8/2/2021,18.16,19.87,17.99,19.46
7/30/2021,19.69,19.72,17.53,18.24
7/29/2021,17.91,18.01,17.19,17.7
7/28/2021,19.41,19.62,17.52,18.31
7/27/2021,18.62,20.44,18.25,19.36
7/26/2021,18.67,19.39,17.53,17.58
7/23/2021,16.98,17.48,16.33,17.2
7/22/2021,17.59,18.45,17.4,17.69
7/21/2021,19.73,19.82,17.81,17.91
7/20/2021,20.89,22.97,19.37,19.73
7/19/2021,19.61,25.09,19.27,22.5
7/16/2021,16.8,18.7,16.03,18.45
7/15/2021,16.7,18.09,16.56,17.01
7/14/2021,17.34,17.51,15.95,16.33
7/13/2021,16.39,17.23,15.94,17.12
7/12/2021,16.85,17.52,16.14,16.17
7/9/2021,17.88,18.13,16.08,16.18
7/8/2021,17.74,21.29,17.74,19
7/7/2021,16.43,17.64,16.08,16.2
7/6/2021,15.77,17.94,15.73,16.44
7/5/2021,15.53,15.54,14.25,15.07
7/2/2021,15.53,15.54,14.25,15.07
7/1/2021,15.62,16.01,15.31,15.48
6/30/2021,16.18,17.31,15.58,15.83
6/29/2021,15.69,16.31,14.1,16.02
6/28/2021,16.07,16.46,15.39,15.76
6/25/2021,16.04,16.17,15.21,15.62
6/24/2021,15.99,16.05,14.19,15.97
6/23/2021,16.25,16.84,14.86,16.32
6/22/2021,17.91,18.32,15.76,16.66
6/21/2021,21.74,21.82,17.81,17.89
6/18/2021,16.96,21.04,16.92,20.7
6/17/2021,18.49,19.22,16.71,17.75
6/16/2021,16.99,19.11,16.42,18.15
6/15/2021,16.27,17.35,16.14,17.02
6/14/2021,16.04,17.04,15.04,16.39
6/11/2021,16.18,16.2,15.15,15.65
6/10/2021,18.18,18.29,16.01,16.1
6/9/2021,17.18,17.96,15.55,17.89
6/8/2021,16.58,17.75,15.15,17.07
6/7/2021,17.34,17.35,15.78,16.42
6/4/2021,18.09,18.42,16.18,16.42
6/3/2021,17.73,19.27,17.45,18.04
6/2/2021,17.86,18.31,16.74,17.48
6/1/2021,17.24,18.53,15.68,17.9
5/31/2021,16.8,16.86,15.9,16.76
5/28/2021,16.8,16.86,15.9,16.76
5/27/2021,18.03,18.17,16.52,16.74
5/26/2021,18.37,18.92,17.35,17.36
5/25/2021,18.35,19.29,16.87,18.84
5/24/2021,20.5,20.51,18.38,18.4
5/21/2021,20.42,20.89,19.53,20.15
5/20/2021,22.33,23.5,20.19,20.67
5/19/2021,22.46,25.96,21.88,22.18
5/18/2021,18.89,21.45,18.81,21.34
5/17/2021,19.89,21.58,19.67,19.72
5/14/2021,21.77,22.1,18.66,18.81
5/13/2021,26.03,28.93,22.23,23.13
5/12/2021,22.42,28.38,21.66,27.59
5/11/2021,21.17,23.73,20.71,21.84
5/10/2021,17.34,19.75,17.07,19.66
