Date,Open,High,Low,Close
11/29/2021,425.25,425.25,425.25,425.25
11/26/2021,420.83,420.83,420.83,420.83
11/24/2021,432.41,432.41,432.41,432.41
11/23/2021,427.24,427.24,427.24,427.24
11/22/2021,423.8,423.8,423.8,423.8
11/19/2021,426.14,426.14,426.14,426.14
11/18/2021,428.52,428.52,428.52,428.52
11/17/2021,428.7,428.7,428.7,428.7
11/16/2021,427.13,427.13,427.13,427.13
11/15/2021,429.88,429.88,429.88,429.88
11/12/2021,427.35,427.35,427.35,427.35
11/11/2021,427.3,427.3,427.3,427.3
11/10/2021,426.44,426.44,426.44,426.44
11/9/2021,428.44,428.44,428.44,428.44
11/8/2021,427.6,427.6,427.6,427.6
11/5/2021,427.91,427.91,427.91,427.91
11/4/2021,426.51,426.51,426.51,426.51
11/3/2021,430.64,430.64,430.64,430.64
11/2/2021,429.48,429.48,429.48,429.48
11/1/2021,427.88,427.88,427.88,427.88
10/29/2021,426.51,426.51,426.51,426.51
10/28/2021,431.58,431.58,431.58,431.58
10/27/2021,426.1,426.1,426.1,426.1
10/26/2021,430.44,430.44,430.44,430.44
10/25/2021,429.03,429.03,429.03,429.03
10/22/2021,427.78,427.78,427.78,427.78
10/21/2021,425.58,425.58,425.58,425.58
10/20/2021,424.64,424.64,424.64,424.64
10/19/2021,418.42,418.42,418.42,418.42
10/18/2021,417.62,417.62,417.62,417.62
10/15/2021,416.53,416.53,416.53,416.53
10/14/2021,416.37,416.37,416.37,416.37
10/13/2021,411.1,411.1,411.1,411.1
10/12/2021,408.14,408.14,408.14,408.14
10/11/2021,402.7,402.7,402.7,402.7
10/8/2021,401.73,401.73,401.73,401.73
10/7/2021,405.34,405.34,405.34,405.34
10/6/2021,404.46,404.46,404.46,404.46
10/5/2021,400.53,400.53,400.53,400.53
10/4/2021,403.27,403.27,403.27,403.27
10/1/2021,403.44,403.44,403.44,403.44
9/30/2021,398.58,398.58,398.58,398.58
9/29/2021,404.88,404.88,404.88,404.88
9/28/2021,402.76,402.76,402.76,402.76
9/27/2021,405.27,405.27,405.27,405.27
9/24/2021,411.23,411.23,411.23,411.23
9/23/2021,415.86,415.86,415.86,415.86
9/22/2021,417.4,417.4,417.4,417.4
9/21/2021,413.58,413.58,413.58,413.58
9/20/2021,413.63,413.63,413.63,413.63
9/17/2021,415.6,415.6,415.6,415.6
9/16/2021,419.6,419.6,419.6,419.6
9/15/2021,419.02,419.02,419.02,419.02
9/14/2021,417.79,417.79,417.79,417.79
9/13/2021,419.28,419.28,419.28,419.28
9/10/2021,417.31,417.31,417.31,417.31
9/7/2021,428.97,428.97,428.97,428.97
9/3/2021,433.95,433.95,433.95,433.95
9/2/2021,433.7,433.7,433.7,433.7
9/1/2021,431.4,431.4,431.4,431.4
8/31/2021,424.54,424.54,424.54,424.54
8/30/2021,422.32,422.32,422.32,422.32
8/27/2021,417.95,417.95,417.95,417.95
8/26/2021,414.03,414.03,414.03,414.03
8/25/2021,414,414,414,414
8/24/2021,414.37,414.37,414.37,414.37
8/23/2021,416.24,416.24,416.24,416.24
8/20/2021,417.35,417.35,417.35,417.35
8/19/2021,415.31,415.31,415.31,415.31
8/18/2021,412.83,412.83,412.83,412.83
8/17/2021,417.02,417.02,417.02,417.02
8/16/2021,417.06,417.06,417.06,417.06
8/13/2021,417.35,417.35,417.35,417.35
8/12/2021,414.88,414.88,414.88,414.88
8/11/2021,413.66,413.66,413.66,413.66
8/10/2021,411.22,411.22,411.22,411.22
8/9/2021,415.67,415.67,415.67,415.67
8/6/2021,417.73,417.73,417.73,417.73
8/5/2021,418.95,418.95,418.95,418.95
8/4/2021,414.66,414.66,414.66,414.66
8/3/2021,416.25,416.25,416.25,416.25
8/2/2021,415.54,415.54,415.54,415.54
7/30/2021,416.28,416.28,416.28,416.28
7/29/2021,415.3,415.3,415.3,415.3
7/28/2021,415.47,415.47,415.47,415.47
7/27/2021,417.52,417.52,417.52,417.52
7/26/2021,414.56,414.56,414.56,414.56
7/23/2021,414.84,414.84,414.84,414.84
7/22/2021,411.09,411.09,411.09,411.09
7/21/2021,414.15,414.15,414.15,414.15
7/20/2021,414.72,414.72,414.72,414.72
7/19/2021,405.83,405.83,405.83,405.83
