Date,Open,High,Low,Close
11/29/2021,"2,370.52","2,370.52","2,370.52","2,370.52"
11/26/2021,"2,350.31","2,350.31","2,350.31","2,350.31"
11/25/2021,"2,389.69","2,389.69","2,389.69","2,389.69"
11/24/2021,"2,389.69","2,389.69","2,389.69","2,389.69"
11/23/2021,"2,385.61","2,385.61","2,385.61","2,385.61"
11/22/2021,"2,380.67","2,380.67","2,380.67","2,380.67"
11/19/2021,"2,410.08","2,410.08","2,410.08","2,410.08"
11/18/2021,"2,419.76","2,419.76","2,419.76","2,419.76"
11/17/2021,"2,370.68","2,370.68","2,370.68","2,370.68"
11/16/2021,"2,375.78","2,375.78","2,375.78","2,375.78"
11/15/2021,"2,353.48","2,353.48","2,353.48","2,353.48"
11/12/2021,"2,345.32","2,345.32","2,345.32","2,345.32"
11/11/2021,"2,314.44","2,314.44","2,314.44","2,314.44"
11/10/2021,"2,313.24","2,313.24","2,313.24","2,313.24"
11/9/2021,"2,349.78","2,349.78","2,349.78","2,349.78"
11/8/2021,"2,320.30","2,320.30","2,320.30","2,320.30"
11/5/2021,"2,334.11","2,334.11","2,334.11","2,334.11"
11/4/2021,"2,333.09","2,333.09","2,333.09","2,333.09"
11/3/2021,"2,304.03","2,304.03","2,304.03","2,304.03"
11/2/2021,"2,269.01","2,269.01","2,269.01","2,269.01"
11/1/2021,"2,268.49","2,268.49","2,268.49","2,268.49"
10/29/2021,"2,283.47","2,283.47","2,283.47","2,283.47"
10/28/2021,"2,294.06","2,294.06","2,294.06","2,294.06"
10/27/2021,"2,271.33","2,271.33","2,271.33","2,271.33"
10/26/2021,"2,274.59","2,274.59","2,274.59","2,274.59"
10/25/2021,"2,268.38","2,268.38","2,268.38","2,268.38"
10/22/2021,"2,259.15","2,259.15","2,259.15","2,259.15"
10/21/2021,"2,277.99","2,277.99","2,277.99","2,277.99"
10/20/2021,"2,248.06","2,248.06","2,248.06","2,248.06"
10/19/2021,"2,255.28","2,255.28","2,255.28","2,255.28"
10/18/2021,"2,251.97","2,251.97","2,251.97","2,251.97"
10/15/2021,"2,224.43","2,224.43","2,224.43","2,224.43"
10/14/2021,"2,189.28","2,189.28","2,189.28","2,189.28"
10/13/2021,"2,165.04","2,165.04","2,165.04","2,165.04"
10/12/2021,"2,149.89","2,149.89","2,149.89","2,149.89"
10/11/2021,"2,148.51","2,148.51","2,148.51","2,148.51"
10/8/2021,"2,163.93","2,163.93","2,163.93","2,163.93"
10/7/2021,"2,172.21","2,172.21","2,172.21","2,172.21"
10/6/2021,"2,146.16","2,146.16","2,146.16","2,146.16"
10/5/2021,"2,134.14","2,134.14","2,134.14","2,134.14"
10/4/2021,"2,112.98","2,112.98","2,112.98","2,112.98"
10/1/2021,"2,151.62","2,151.62","2,151.62","2,151.62"
