Date,Open,High,Low,Close
11/29/2021,"1,791.70","1,798.90","1,779.10","1,782.30"
11/26/2021,"1,788.30","1,816.30","1,778.60","1,785.50"
11/24/2021,"1,789.80","1,796.20","1,777.40","1,784.30"
11/23/2021,"1,807.10","1,812.50","1,781.70","1,783.80"
11/22/2021,"1,848.30","1,850.40","1,802.40","1,806.30"
11/19/2021,"1,860.80","1,868.10","1,844.20","1,851.60"
11/18/2021,"1,869.50","1,873.30","1,856.60","1,861.40"
11/17/2021,"1,851.60","1,870.60","1,851.10","1,870.20"
11/16/2021,"1,864.90","1,879.50","1,851.00","1,854.10"
11/15/2021,"1,872.60","1,873.00","1,858.50","1,866.60"
11/12/2021,"1,864.30","1,871.40","1,847.50","1,868.50"
11/11/2021,"1,851.50","1,868.70","1,845.10","1,863.90"
11/10/2021,"1,834.50","1,870.60","1,823.00","1,848.30"
11/9/2021,"1,826.90","1,834.80","1,821.00","1,830.80"
11/8/2021,"1,820.60","1,828.30","1,813.80","1,828.00"
11/5/2021,"1,792.60","1,820.10","1,785.30","1,816.80"
11/4/2021,"1,769.90","1,800.30","1,769.30","1,793.50"
11/3/2021,"1,789.20","1,789.30","1,758.50","1,763.90"
11/2/2021,"1,794.80","1,797.80","1,787.40","1,789.40"
11/1/2021,"1,785.30","1,797.50","1,780.20","1,795.80"
10/29/2021,"1,801.50","1,802.90","1,772.40","1,783.90"
10/28/2021,"1,798.70","1,812.70","1,793.10","1,802.60"
10/27/2021,"1,795.00","1,801.00","1,784.30","1,798.80"
10/26/2021,"1,808.70","1,809.80","1,783.00","1,793.40"
10/25/2021,"1,794.20","1,811.50","1,793.00","1,806.80"
10/22/2021,"1,783.70","1,815.50","1,783.40","1,796.30"
10/21/2021,"1,782.50","1,790.30","1,776.80","1,781.90"
10/20/2021,"1,769.40","1,789.60","1,767.10","1,784.90"
10/19/2021,"1,764.80","1,786.00","1,763.40","1,770.50"
10/18/2021,"1,767.50","1,772.50","1,760.30","1,765.70"
10/15/2021,"1,797.30","1,797.70","1,765.10","1,768.30"
10/14/2021,"1,793.60","1,801.90","1,787.60","1,797.90"
10/13/2021,"1,760.40","1,797.40","1,757.90","1,794.70"
10/12/2021,"1,753.60","1,770.00","1,750.50","1,759.30"
10/11/2021,"1,757.40","1,761.10","1,749.90","1,755.70"
10/8/2021,"1,757.00","1,782.40","1,753.60","1,757.40"
10/7/2021,"1,763.80","1,767.70","1,752.00","1,759.20"
10/6/2021,"1,760.50","1,765.90","1,745.40","1,761.80"
10/5/2021,"1,770.80","1,771.10","1,748.60","1,760.90"
10/4/2021,"1,762.60","1,771.50","1,747.70","1,767.60"
10/1/2021,"1,757.20","1,765.20","1,749.90","1,758.40"
9/30/2021,"1,726.00","1,765.00","1,721.80","1,757.00"
9/29/2021,"1,734.00","1,746.00","1,721.10","1,722.90"
9/28/2021,"1,750.00","1,754.30","1,727.80","1,737.50"
9/27/2021,"1,751.80","1,760.90","1,744.70","1,752.00"
9/24/2021,"1,743.70","1,758.00","1,740.20","1,751.70"
9/23/2021,"1,769.20","1,777.10","1,737.50","1,749.80"
9/22/2021,"1,775.00","1,788.40","1,764.60","1,778.80"
9/21/2021,"1,765.50","1,782.80","1,758.30","1,778.20"
9/20/2021,"1,754.20","1,768.40","1,742.30","1,763.80"
9/17/2021,"1,754.60","1,767.80","1,747.10","1,751.40"
9/16/2021,"1,795.50","1,797.30","1,745.50","1,756.70"
9/15/2021,"1,806.60","1,808.50","1,791.70","1,794.80"
9/14/2021,"1,794.80","1,810.60","1,780.60","1,807.10"
9/13/2021,"1,789.80","1,800.20","1,784.40","1,794.40"
9/10/2021,"1,796.20","1,806.00","1,788.20","1,792.10"
9/9/2021,"1,790.90","1,803.40","1,785.10","1,800.00"
9/8/2021,"1,796.10","1,804.40","1,783.10","1,793.50"
9/7/2021,"1,825.60","1,829.50","1,793.70","1,798.50"
9/3/2021,"1,811.50","1,836.90","1,810.90","1,833.70"
9/2/2021,"1,816.20","1,819.60","1,806.50","1,811.50"
9/1/2021,"1,816.70","1,822.70","1,810.60","1,816.00"
8/31/2021,"1,812.20","1,821.90","1,803.40","1,818.10"
8/30/2021,"1,821.60","1,826.50","1,810.00","1,812.20"
8/27/2021,"1,795.20","1,821.90","1,785.20","1,819.50"
8/26/2021,"1,793.00","1,800.40","1,781.30","1,795.20"
8/25/2021,"1,805.10","1,805.30","1,784.00","1,791.00"
8/24/2021,"1,807.60","1,812.20","1,802.60","1,808.50"
8/23/2021,"1,781.20","1,809.10","1,778.00","1,806.30"
8/20/2021,"1,782.80","1,791.00","1,780.00","1,784.00"
8/19/2021,"1,789.50","1,795.00","1,774.60","1,783.10"
8/18/2021,"1,787.80","1,795.70","1,778.80","1,784.40"
8/17/2021,"1,789.10","1,797.60","1,782.10","1,787.80"
8/16/2021,"1,780.90","1,791.30","1,772.00","1,789.80"
8/13/2021,"1,754.40","1,781.90","1,753.00","1,778.20"
8/12/2021,"1,752.90","1,759.60","1,742.60","1,751.80"
8/11/2021,"1,730.40","1,756.70","1,724.60","1,753.30"
8/10/2021,"1,732.00","1,739.40","1,718.50","1,731.70"
8/9/2021,"1,765.00","1,765.70","1,672.80","1,726.50"
8/6/2021,"1,806.70","1,807.00","1,759.50","1,763.10"
8/5/2021,"1,814.90","1,817.90","1,799.70","1,808.90"
8/4/2021,"1,813.70","1,835.90","1,808.30","1,814.50"
8/3/2021,"1,816.80","1,818.20","1,809.50","1,814.10"
8/2/2021,"1,817.00","1,823.20","1,808.20","1,822.20"
7/30/2021,"1,832.50","1,835.50","1,813.10","1,817.20"
7/29/2021,"1,806.60","1,832.60","1,806.10","1,831.20"
7/28/2021,"1,798.60","1,809.00","1,790.70","1,799.70"
7/27/2021,"1,797.10","1,805.40","1,792.80","1,799.80"
7/26/2021,"1,802.30","1,812.00","1,796.00","1,799.20"
7/23/2021,"1,807.70","1,810.70","1,789.10","1,801.80"
7/22/2021,"1,803.90","1,808.40","1,791.90","1,805.40"
7/21/2021,"1,810.60","1,814.40","1,794.30","1,803.40"
7/20/2021,"1,813.50","1,825.90","1,805.20","1,811.40"
7/19/2021,"1,811.60","1,818.00","1,795.00","1,809.20"
7/16/2021,"1,830.70","1,832.70","1,809.50","1,815.00"
7/15/2021,"1,828.70","1,835.00","1,820.60","1,829.00"
7/14/2021,"1,808.30","1,831.10","1,804.90","1,825.00"
7/13/2021,"1,806.70","1,818.00","1,798.70","1,809.90"
7/12/2021,"1,808.50","1,811.00","1,791.00","1,805.90"
7/9/2021,"1,803.20","1,813.00","1,796.60","1,810.60"
7/8/2021,"1,803.80","1,819.50","1,793.50","1,800.20"
7/7/2021,"1,797.00","1,810.20","1,794.10","1,802.10"
7/6/2021,"1,791.80","1,815.70","1,790.20","1,794.20"
7/2/2021,"1,777.50","1,795.90","1,774.40","1,783.30"
7/1/2021,"1,770.80","1,783.40","1,765.90","1,776.80"
6/30/2021,"1,761.90","1,774.70","1,753.20","1,771.60"
6/29/2021,"1,778.80","1,779.20","1,750.10","1,763.60"
6/28/2021,"1,782.00","1,786.10","1,770.40","1,780.70"
6/25/2021,"1,775.70","1,791.00","1,773.60","1,777.80"
6/24/2021,"1,778.20","1,788.60","1,772.70","1,776.70"
6/23/2021,"1,779.10","1,795.60","1,773.10","1,783.40"
6/22/2021,"1,783.20","1,790.10","1,771.20","1,777.40"
6/21/2021,"1,764.30","1,786.90","1,764.10","1,782.90"
6/18/2021,"1,773.90","1,797.90","1,761.20","1,769.00"
6/17/2021,"1,812.30","1,826.40","1,767.90","1,774.80"
6/16/2021,"1,861.00","1,866.00","1,804.40","1,861.40"
6/15/2021,"1,867.80","1,870.90","1,853.00","1,856.40"
6/14/2021,"1,879.60","1,879.70","1,845.70","1,865.90"
6/11/2021,"1,901.90","1,906.20","1,876.10","1,879.60"
6/10/2021,"1,891.40","1,903.00","1,871.80","1,896.40"
6/9/2021,"1,894.40","1,901.70","1,889.30","1,895.50"
6/8/2021,"1,901.60","1,906.90","1,885.70","1,894.40"
6/7/2021,"1,894.30","1,902.90","1,883.70","1,898.80"
6/4/2021,"1,872.70","1,899.00","1,855.60","1,892.00"
6/3/2021,"1,910.50","1,912.30","1,866.70","1,873.30"
6/2/2021,"1,903.00","1,911.80","1,896.40","1,909.90"
6/1/2021,"1,910.30","1,919.20","1,894.50","1,905.00"
5/28/2021,"1,899.80","1,908.80","1,884.30","1,905.30"
5/27/2021,"1,899.30","1,906.50","1,890.80","1,898.50"
5/26/2021,"1,900.00","1,913.30","1,890.70","1,901.20"
5/25/2021,"1,881.20","1,901.20","1,873.20","1,898.00"
5/24/2021,"1,883.50","1,887.90","1,875.70","1,884.50"
5/21/2021,"1,878.10","1,890.30","1,870.30","1,876.70"
5/20/2021,"1,869.90","1,885.30","1,864.20","1,881.90"
