Date,Open,High,Low,Close
11/29/2021,197.55,209.53,194.17,207.13
11/28/2021,193.98,197.87,182.81,197.55
11/27/2021,197.98,201.08,191.01,193.98
11/26/2021,221.91,225.47,190.45,198.58
11/25/2021,210.79,229.69,210.36,221.91
11/24/2021,214.52,218.49,206.37,210.79
11/23/2021,208.54,214.99,205.74,214.52
11/22/2021,227.05,227.75,205.65,208.59
11/21/2021,226.14,230.25,219.77,227.05
11/20/2021,217.44,227.78,213.42,225.97
11/19/2021,205.1,221.31,199.88,217.2
11/18/2021,226.42,232.2,200.15,205.09
11/17/2021,233.6,235.17,218.97,226.42
11/16/2021,263.17,265.63,224.75,233.51
11/15/2021,272.66,281.32,259.32,263.42
11/14/2021,257.05,273.49,248.64,272.15
11/13/2021,252.3,263.99,245.45,256.87
11/12/2021,265.2,282.6,244.45,252.31
11/11/2021,256.3,274.12,251.1,265.2
11/10/2021,269.56,295.35,254.62,257.59
11/9/2021,225.33,274.4,224.62,269.7
11/8/2021,201.71,229.58,200.63,225.33
11/7/2021,196.91,201.76,196.91,201.71
11/6/2021,197.18,201.26,191.56,196.91
11/5/2021,201.54,204.09,197.01,197.34
11/4/2021,208.45,208.81,196.58,201.54
11/3/2021,200.34,209.3,197.38,208.51
11/2/2021,193.41,204.68,192.66,200.64
11/1/2021,191.55,200.58,188.3,193.32
10/31/2021,191.73,195.08,186.85,191.46
10/30/2021,194.6,198.5,189.24,191.73
10/29/2021,192.4,196.52,188.71,194.6
10/28/2021,183.75,194.36,178,192.48
10/27/2021,196.18,204.88,174.12,183.8
10/26/2021,194.46,197.39,190.62,196.18
10/25/2021,189.54,197.12,189.12,194.46
10/24/2021,195.11,199.6,185.47,189.51
10/23/2021,192.67,197.42,188.22,195.1
10/22/2021,198.44,201.37,190.61,192.67
10/21/2021,207.18,214.45,195.88,198.44
10/20/2021,186.08,209.11,185.87,207.35
10/19/2021,185.18,191.46,183.32,186.08
10/18/2021,178.9,187.42,178.8,185.05
10/17/2021,186.44,187.88,177.33,178.9
10/16/2021,192.17,192.28,185.14,186.72
10/15/2021,179.54,192.63,176.87,191.41
10/14/2021,176.2,185.89,175.95,179.54
10/13/2021,172.18,178.67,167.84,176.17
10/12/2021,175.73,179.43,166.74,172.11
10/11/2021,178.37,185.17,173.22,176
10/10/2021,181.11,183.84,176.6,178.37
10/9/2021,175.31,182.76,174.69,181.11
10/8/2021,179.96,183.38,174.51,175.38
10/7/2021,181.43,186.93,173.43,179.96
10/6/2021,174.66,182.86,164,181.43
10/5/2021,168.08,175.4,166,174.66
10/4/2021,171,171.54,161.55,168.08
10/3/2021,170.89,174.9,166.02,171
10/2/2021,166.14,172.63,164.78,170.89
10/1/2021,151.23,167.17,151.22,166.14
9/30/2021,143.34,154.37,143.01,151.23
9/29/2021,144.32,149.82,139.99,143.34
9/28/2021,147.75,149.85,142.27,144.32
9/27/2021,152.57,154.91,147.19,147.75
9/26/2021,151.34,153.47,142.37,152.57
9/25/2021,151.36,155.97,149.06,151.7
9/24/2021,163.6,166.38,142.04,151.37
9/23/2021,160.36,164.72,157.45,163.6
9/22/2021,151.32,161.8,145,160.36
9/21/2021,158.4,162.04,150.56,151.32
9/20/2021,177.01,177.62,153.88,157.87
9/19/2021,179.69,181.6,174.69,177.01
9/18/2021,179,185.51,178.07,179.69
9/17/2021,182.14,190.15,178.25,179.14
9/16/2021,184.23,195.11,181.75,182.28
9/15/2021,181.48,185.96,179.61,184.39
9/14/2021,183.36,187.87,176.31,181.51
9/13/2021,177.74,236.12,171.03,183.08
9/12/2021,182.45,185.83,175.37,176.94
9/11/2021,173.4,186,171.27,182.45
9/10/2021,180.39,187.27,171.54,173.5
9/9/2021,179.87,188.64,176.85,180.39
9/8/2021,177.6,188.52,169.9,180.19
9/7/2021,222.69,223.38,164.33,177.04
9/6/2021,225.73,232.41,216.78,222.69
9/5/2021,214.16,229.23,210.76,225.28
9/4/2021,212.33,225.07,207.03,213.97
9/3/2021,187.74,217.63,180.08,212.41
9/2/2021,180.11,187.6,179.55,187.6
9/1/2021,171.88,180.82,168.91,180.18
8/31/2021,175.01,175.27,165.76,171.64
8/30/2021,175.48,177.81,167.8,175.01
8/29/2021,172.78,182.76,172.78,175.48
8/28/2021,175.07,177,171.54,172.83
8/27/2021,169.81,175.6,165.25,175.04
8/26/2021,177.05,180.15,165.32,169.81
8/25/2021,176.74,178.87,169.89,177.03
8/24/2021,186.3,188.44,172.54,176.78
8/23/2021,179.82,191.68,179.02,186.14
8/22/2021,178.3,189.56,177.82,179.82
8/21/2021,180.84,184.43,176.98,177.94
8/20/2021,174,183.97,173.36,180.84
8/19/2021,165.05,174.96,162.8,174.01
8/18/2021,172.99,174.48,163.22,165.19
8/17/2021,179.94,184.24,169.91,173.02
8/16/2021,183.63,188.94,177.73,179.94
8/15/2021,178.86,186.38,175.29,183.42
8/14/2021,181.29,185,175.2,178.82
8/13/2021,165.98,182.7,161.97,181.09
8/12/2021,174.26,179.61,160.85,165.68
8/11/2021,167.02,176,164.29,174.26
8/10/2021,164.29,168.49,159.04,166.75
8/9/2021,148.68,170.52,145.41,164.56
8/8/2021,154.6,157.56,147.36,148.68
8/7/2021,148.66,156.21,147,154.6
8/6/2021,144.34,150.72,142.02,148.66
8/5/2021,143.64,144.78,136.32,144.33
8/4/2021,139.16,144,135.65,143.63
8/3/2021,139.78,143.2,135.86,139.16
8/2/2021,146.2,146.72,138.22,139.78
8/1/2021,143.91,149.79,143.09,146.2
7/31/2021,142.52,146.53,142.01,143.91
7/30/2021,140.94,143.66,136.02,142.48
7/29/2021,138.29,141.95,136.96,140.94
7/28/2021,133.06,140.43,132.55,138.44
7/27/2021,132.62,134.54,127.45,133.14
7/26/2021,124.7,140.32,124.56,132.54
7/25/2021,123.85,127.99,123.66,124.7
7/24/2021,120,127.74,119.86,123.85
7/23/2021,120.18,123.52,117.07,120
7/22/2021,116.51,121.9,115.68,120.18
7/21/2021,109.18,119.1,105.15,116.59
7/20/2021,113.8,114.98,103.95,109.18
7/19/2021,119.15,121.99,111.91,113.8
7/18/2021,121.24,124.03,116.75,119.4
7/17/2021,123.51,124.26,117.78,121.27
7/16/2021,125.28,127.69,120.97,123.51
7/15/2021,131.18,132.98,122.09,125.28
7/14/2021,131.31,131.97,124,131.37
7/13/2021,132.55,134.5,129.61,131.16
7/12/2021,133.74,139.62,131.87,132.55
7/11/2021,133.9,135.83,132.25,133.74
7/10/2021,133.66,136.67,130.52,132.18
7/9/2021,131.58,135.36,126.3,133.66
7/8/2021,139.6,139.6,128.01,131.58
7/7/2021,137.23,142.9,135.9,139.6
7/6/2021,138.8,142.69,135.77,137.23
7/5/2021,146.07,147.98,134.29,138.8
7/4/2021,139.73,147,136.99,146.07
7/3/2021,133.17,141.34,133.08,139.72
7/2/2021,136.42,138.93,130.69,133.17
7/1/2021,142.34,144.51,134.35,136.12
6/30/2021,144.74,146.76,136.17,142.43
6/29/2021,137.31,149.16,135.93,144.74
6/28/2021,125.5,138.9,125.06,137.31
6/27/2021,124.2,129.94,124.14,125.5
6/26/2021,128.63,129.31,118.87,121.99
6/25/2021,136.06,138.33,125.21,128.83
6/24/2021,125.34,137.31,123.8,136.06
6/23/2021,122.51,133.74,117.5,125.34
6/22/2021,134,134,105.04,122.51
6/21/2021,155.89,156,127.96,134.22
6/20/2021,156.4,156.43,143.97,155.89
6/19/2021,154.27,160.88,153.58,156.4
6/18/2021,164.36,167.42,151.91,154.27
