Date,Open,High,Low,Close
11/29/2021,5.199,5.2,4.818,4.854
11/26/2021,5.116,5.518,5.075,5.477
11/24/2021,5.061,5.205,4.945,5.114
11/23/2021,4.865,5.149,4.833,5.035
11/22/2021,4.998,5.047,4.736,4.861
11/19/2021,4.992,5.237,4.933,5.145
11/18/2021,4.993,5.133,4.935,4.995
11/17/2021,5.248,5.263,4.9,4.914
11/16/2021,5.145,5.48,5.107,5.27
11/15/2021,4.986,5.15,4.811,5.104
11/12/2021,5.225,5.239,4.85,4.88
11/11/2021,5.011,5.273,4.987,5.245
11/10/2021,5.061,5.137,4.819,4.974
11/9/2021,5.487,5.54,5,5.07
11/8/2021,5.73,5.76,5.481,5.505
11/5/2021,5.779,5.866,5.609,5.626
11/4/2021,5.969,5.975,5.652,5.826
11/3/2021,5.645,5.967,5.57,5.78
11/2/2021,5.341,5.659,5.322,5.64
11/1/2021,5.425,5.595,5.238,5.305
10/29/2021,5.823,5.922,5.504,5.529
10/28/2021,6.221,6.279,5.809,5.871
10/27/2021,5.858,6.291,5.77,6.202
10/26/2021,5.959,6.091,5.595,5.882
10/25/2021,5.468,6.008,5.462,5.898
10/22/2021,5.196,5.379,5.121,5.28
10/21/2021,5.151,5.227,5.006,5.115
10/20/2021,5.066,5.221,4.912,5.17
10/19/2021,4.985,5.1,4.825,5.088
10/18/2021,5.299,5.37,4.955,4.989
10/15/2021,5.641,5.789,5.4,5.41
10/14/2021,5.676,5.964,5.604,5.687
10/13/2021,5.456,5.693,5.35,5.59
10/12/2021,5.408,5.523,5.168,5.505
10/11/2021,5.695,5.799,5.308,5.345
10/8/2021,5.761,5.876,5.548,5.565
10/7/2021,5.71,5.835,5.393,5.677
10/6/2021,6.321,6.466,5.663,5.675
10/5/2021,5.83,6.392,5.79,6.312
10/4/2021,5.628,6.064,5.628,5.766
10/1/2021,5.975,6.01,5.533,5.619
9/30/2021,5.457,5.994,5.341,5.867
9/29/2021,5.857,5.955,5.421,5.477
9/28/2021,5.854,6.318,5.647,5.88
9/27/2021,5.26,5.894,5.238,5.731
9/24/2021,5.105,5.241,5.045,5.2
9/23/2021,4.758,5.037,4.741,4.976
9/22/2021,4.811,4.898,4.744,4.805
9/21/2021,4.962,5.046,4.735,4.805
9/20/2021,5.015,5.172,4.905,4.985
9/17/2021,5.27,5.394,5.044,5.105
9/16/2021,5.41,5.6,5.228,5.335
9/15/2021,5.28,5.65,5.266,5.46
9/14/2021,5.199,5.369,5.171,5.26
9/13/2021,4.945,5.289,4.879,5.231
9/10/2021,5.002,5.058,4.913,4.938
9/9/2021,4.917,5.047,4.82,5.031
9/8/2021,4.598,5.01,4.585,4.914
9/7/2021,4.688,4.703,4.557,4.568
9/3/2021,4.627,4.718,4.586,4.712
9/2/2021,4.639,4.727,4.577,4.641
9/1/2021,4.403,4.706,4.378,4.615
8/31/2021,4.312,4.417,4.215,4.377
8/30/2021,4.499,4.526,4.222,4.305
