Date,Open,High,Low,Close
11/29/2021,418.74,421.22,421.22,421.22
11/26/2021,436.37,418.74,418.74,418.74
11/24/2021,432.14,436.37,436.37,436.37
11/23/2021,419.38,432.14,432.14,432.14
11/22/2021,411.91,419.38,419.38,419.38
11/19/2021,428.66,411.91,411.91,411.91
11/18/2021,430.97,428.66,428.66,428.66
11/17/2021,438.62,430.97,430.97,430.97
11/16/2021,438.21,438.62,438.62,438.62
11/15/2021,434.6,438.21,438.21,438.21
11/12/2021,435.73,434.6,434.6,434.6
11/11/2021,434.38,435.73,435.73,435.73
11/10/2021,447.67,434.38,434.38,434.38
11/9/2021,445.91,447.67,447.67,447.67
11/8/2021,442,445.91,445.91,445.91
11/5/2021,435.83,442,442,442
11/4/2021,434.99,435.83,435.83,435.83
11/3/2021,438.65,434.99,434.99,434.99
11/2/2021,443.11,438.65,438.65,438.65
11/1/2021,436.19,443.11,443.11,443.11
10/29/2021,439.12,436.19,436.19,436.19
10/28/2021,436.1,439.12,439.12,439.12
10/27/2021,448.94,436.1,436.1,436.1
10/26/2021,445.91,448.94,448.94,448.94
10/25/2021,439.56,445.91,445.91,445.91
10/22/2021,435.5,439.56,439.56,439.56
10/21/2021,443.53,435.5,435.5,435.5
10/20/2021,439.87,443.53,443.53,443.53
10/19/2021,434.89,439.87,439.87,439.87
10/18/2021,434.44,434.89,434.89,434.89
10/15/2021,432.43,434.44,434.44,434.44
10/14/2021,427.19,432.43,432.43,432.43
10/13/2021,427.6,427.19,427.19,427.19
10/12/2021,427.71,427.6,427.6,427.6
10/11/2021,429.46,427.71,427.71,427.71
10/8/2021,416.45,429.46,429.46,429.46
10/7/2021,413.6,416.45,416.45,416.45
10/6/2021,418,413.6,413.6,413.6
10/5/2021,415.6,418,418,418
10/4/2021,408.94,415.6,415.6,415.6
10/1/2021,395.88,408.94,408.94,408.94
9/30/2021,401.66,395.88,395.88,395.88
9/29/2021,401.67,401.66,401.66,401.66
9/28/2021,399.83,401.67,401.67,401.67
9/27/2021,386.57,399.83,399.83,399.83
9/24/2021,383.35,386.57,386.57,386.57
9/23/2021,370.71,383.35,383.35,383.35
9/22/2021,359.34,370.71,370.71,370.71
9/21/2021,358,359.34,359.34,359.34
9/20/2021,369.23,358,358,358
9/17/2021,372.04,369.23,369.23,369.23
9/16/2021,376.02,372.04,372.04,372.04
9/15/2021,362.2,376.02,376.02,376.02
9/14/2021,367.9,362.21,362.21,362.2
9/13/2021,357.39,367.9,367.9,367.9
9/10/2021,357.55,357.39,357.39,357.39
9/9/2021,357.11,357.55,357.55,357.55
9/8/2021,361.8,357.11,357.11,357.11
9/7/2021,363.88,361.8,361.8,361.8
9/3/2021,365.82,363.88,363.88,363.88
9/2/2021,356.8,365.82,365.82,365.82
9/1/2021,362.26,356.8,356.8,356.8
8/31/2021,364.92,362.26,362.26,362.26
8/30/2021,369.21,364.92,364.92,364.92
8/27/2021,359.77,369.21,369.21,369.21
8/26/2021,365.28,359.77,359.77,359.77
8/25/2021,362.68,365.28,365.28,365.28
8/24/2021,356.92,362.68,362.68,362.68
8/23/2021,343.95,356.92,356.92,356.92
8/20/2021,342.99,343.95,343.95,343.95
8/19/2021,352.34,342.99,342.99,342.99
8/18/2021,361,352.34,352.34,352.34
8/17/2021,364.35,361,361,361
8/16/2021,371.14,364.35,364.35,364.35
8/13/2021,375.97,371.14,371.14,371.14
8/12/2021,377.82,375.97,375.97,375.97
8/11/2021,375,377.82,377.82,377.82
8/10/2021,368.66,375,375,375
8/9/2021,374.19,368.66,368.66,368.66
8/6/2021,370.75,374.19,374.19,374.19
8/5/2021,366.06,370.75,370.75,370.75
8/4/2021,377.11,366.06,366.06,366.06
8/3/2021,370.33,377.11,377.11,377.11
8/2/2021,372.99,370.33,370.33,370.33
7/30/2021,379.67,372.99,372.99,372.99
7/29/2021,376.15,379.67,379.67,379.67
7/28/2021,372.54,376.15,376.15,376.15
7/27/2021,376.34,372.54,372.54,372.54
7/26/2021,367.17,376.34,376.34,376.34
7/23/2021,368.77,367.17,367.17,367.17
7/22/2021,372.98,368.77,368.77,368.77
7/21/2021,360.26,372.98,372.98,372.98
7/20/2021,355.36,360.26,360.26,360.26
7/19/2021,368.6,355.36,355.36,355.36
7/16/2021,379.08,368.6,368.6,368.6
7/15/2021,384.51,379.08,379.08,379.08
7/14/2021,396.15,384.51,384.51,384.51
7/13/2021,398.98,396.15,396.15,396.15
7/12/2021,399.42,398.98,398.98,398.98
7/9/2021,391.55,399.42,399.42,399.42
7/8/2021,393.37,391.55,391.55,391.55
7/7/2021,400.28,393.37,393.37,393.37
7/6/2021,413.52,400.28,400.28,400.28
7/2/2021,414.36,413.52,413.52,413.52
7/1/2021,407.37,414.36,414.36,414.36
6/30/2021,402.1,407.37,407.37,407.37
6/29/2021,404.13,402.1,402.1,402.1
6/28/2021,418.03,404.13,404.13,404.13
6/25/2021,416.07,418.03,418.03,418.03
6/24/2021,412.55,416.07,416.07,416.07
6/23/2021,411.46,412.55,412.55,412.55
6/22/2021,408.73,411.46,411.46,411.46
6/21/2021,391.92,408.73,408.73,408.73
6/18/2021,403.71,391.92,391.92,391.92
6/17/2021,418.31,403.71,403.71,403.71
6/16/2021,420.34,418.31,418.31,418.31
6/15/2021,411.85,420.34,420.34,420.34
6/14/2021,413.47,411.85,411.85,411.85
6/11/2021,415.02,413.47,413.47,413.47
6/10/2021,415.56,415.02,415.02,415.02
6/9/2021,417.89,415.56,415.56,415.56
6/8/2021,414.25,417.89,417.89,417.89
6/7/2021,415.85,414.25,414.25,414.25
6/4/2021,413.47,415.85,415.85,415.85
6/3/2021,412.19,413.47,413.47,413.47
6/2/2021,405.14,412.19,412.19,412.19
6/1/2021,389.82,405.14,405.14,405.14
5/28/2021,389.54,389.82,389.82,389.82
5/27/2021,389.32,389.54,389.54,389.54
5/26/2021,385.73,389.32,389.32,389.32
5/25/2021,393.76,385.73,385.73,385.73
5/24/2021,389.91,393.76,393.76,393.76
5/21/2021,389.17,389.91,389.91,389.91
5/20/2021,389.63,389.17,389.17,389.17
5/19/2021,399.72,389.63,389.63,389.63
5/18/2021,410.53,399.72,399.72,399.72
5/17/2021,401.29,410.53,410.53,410.53
5/14/2021,389.01,401.29,401.29,401.29
5/13/2021,394.33,389.01,389.01,389.01
5/12/2021,394.09,394.33,394.33,394.33
5/11/2021,404.45,394.09,394.09,394.09
5/10/2021,404.65,404.45,404.45,404.45
5/7/2021,397.15,404.65,404.65,404.65
5/6/2021,395.24,397.15,397.15,397.15
5/5/2021,382.51,395.24,395.24,395.24
5/4/2021,382.43,382.51,382.51,382.51
5/3/2021,371.6,382.43,382.43,382.43
4/30/2021,381.98,371.6,371.6,371.6
4/29/2021,377.8,381.98,381.98,381.98
4/28/2021,365.57,377.8,377.8,377.8
4/27/2021,361.03,365.57,365.57,365.57
4/26/2021,358.74,361.03,361.03,361.03
4/23/2021,355.42,358.74,358.74,358.74
4/22/2021,360.5,355.42,355.42,355.42
4/21/2021,355.26,360.5,360.5,360.5
4/20/2021,364.98,355.26,355.26,355.26
4/19/2021,365.19,364.98,364.98,364.98
4/16/2021,368.5,365.19,365.19,365.19
4/15/2021,371.78,368.5,368.5,368.5
4/14/2021,361.26,371.78,371.78,371.78
4/13/2021,360.91,361.26,361.26,361.26
4/12/2021,364.35,360.91,360.91,360.91
4/9/2021,366.17,364.35,364.35,364.35
4/8/2021,371.23,366.17,366.17,366.17
4/7/2021,369.6,371.23,371.23,371.23
4/6/2021,370.57,369.6,369.6,369.6
4/5/2021,379.71,370.57,370.57,370.57
4/1/2021,369.89,379.71,379.71,379.71
3/31/2021,373.35,369.89,369.89,369.89
3/30/2021,376.37,373.35,373.35,373.35
3/29/2021,381.18,376.37,376.37,376.37
3/26/2021,371.44,381.18,381.18,381.18
3/25/2021,370.51,371.44,371.44,371.44
3/24/2021,361.4,370.51,370.51,370.51
3/23/2021,366.39,361.4,361.4,361.4
3/22/2021,370.11,366.39,366.39,366.39
3/19/2021,370.06,370.11,370.11,370.11
3/18/2021,388.23,370.06,370.06,370.06
3/17/2021,384.62,388.23,388.23,388.23
3/16/2021,395.81,384.62,384.62,384.62
3/15/2021,400.82,395.81,395.81,395.81
3/12/2021,400.11,400.82,400.82,400.82
3/11/2021,399.8,400.11,400.11,400.11
3/10/2021,389.54,399.8,399.8,399.8
3/8/2021,396.54,397.13,397.13,397.13
3/5/2021,381.76,396.54,396.54,396.54
3/4/2021,372.55,381.76,381.76,381.76
3/3/2021,367.31,372.55,372.55,372.55
3/2/2021,369.47,367.31,367.31,367.31
3/1/2021,360.19,369.47,369.47,369.47
2/26/2021,368.66,360.19,360.19,360.19
2/25/2021,376.2,368.66,368.66,368.66
2/24/2021,362.97,376.2,376.2,376.2
2/23/2021,357.22,362.97,362.97,362.97
2/22/2021,345.23,357.22,357.22,357.22
2/19/2021,339.66,345.23,345.23,345.23
2/18/2021,347.55,339.66,339.66,339.66
2/17/2021,342.57,347.55,347.55,347.55
2/16/2021,334.99,342.57,342.57,342.57
2/12/2021,330.36,334.99,334.99,334.99
2/11/2021,335.48,330.36,330.36,330.36
2/10/2021,329.41,335.48,335.48,335.48
2/9/2021,334.5,329.41,329.41,329.41
2/8/2021,321.1,334.5,334.5,334.5
2/5/2021,318.16,321.1,321.1,321.1
2/4/2021,314.75,318.16,318.16,318.16
2/3/2021,301.85,314.75,314.75,314.75
2/2/2021,298.59,301.85,301.85,301.85
2/1/2021,296.52,298.59,298.59,298.59
1/29/2021,306.92,296.52,296.52,296.52
1/28/2021,303.22,306.92,306.92,306.92
1/27/2021,307.5,303.22,303.22,303.22
1/26/2021,314.17,307.5,307.5,307.5
1/25/2021,317.54,314.17,314.17,314.17
1/22/2021,319.12,317.54,317.54,317.54
1/21/2021,330.47,319.12,319.12,319.12
1/20/2021,329.3,330.47,330.47,330.47
1/19/2021,322.58,329.3,329.3,329.3
1/15/2021,336.14,322.58,322.58,322.58
1/14/2021,326.33,336.14,336.14,336.14
1/13/2021,328.98,326.33,326.33,326.33
1/12/2021,317.86,328.98,328.98,328.98
1/11/2021,312.78,317.86,317.86,317.86
1/8/2021,313.06,312.78,312.78,312.78
1/7/2021,308.45,313.06,313.06,313.06
1/6/2021,299.49,308.45,308.45,308.45
1/5/2021,286.5,299.49,299.49,299.49
1/4/2021,286.14,286.5,286.5,286.5
12/31/2020,288.48,286.14,286.14,286.14
12/30/2020,283.93,288.48,288.48,288.48
12/29/2020,285.82,283.93,283.93,283.93
12/28/2020,287.38,285.82,285.82,285.82
12/24/2020,289.2,287.38,287.38,287.38
12/23/2020,283.04,289.2,289.2,289.2
12/22/2020,288.06,283.04,283.04,283.04
12/21/2020,293.33,288.06,288.06,288.06
12/18/2020,298.33,293.33,293.33,293.33
12/17/2020,300.04,298.33,298.33,298.33
12/16/2020,301.23,300.04,300.04,300.04
12/15/2020,295.55,301.23,301.23,301.23
12/14/2020,306.38,295.55,295.55,295.55
12/11/2020,309.95,306.38,306.38,306.38
12/10/2020,301.14,309.95,309.95,309.95
12/9/2020,300.19,301.14,301.14,301.14
12/8/2020,295.55,300.19,300.19,300.19
12/7/2020,302.94,295.55,295.55,295.55
12/4/2020,287.34,302.94,302.94,302.94
12/3/2020,284.3,287.34,287.34,287.34
12/2/2020,284.3,284.3,284.3,284.3
12/1/2020,274.42,275.62,275.62,275.62
11/30/2020,289.99,274.42,274.42,274.42
11/27/2020,293.66,289.99,289.99,289.99
11/25/2020,300.95,293.66,293.66,293.66
11/24/2020,286.18,300.95,300.95,300.95
11/23/2020,267.24,286.18,286.18,286.18
11/20/2020,268.65,267.24,267.24,267.24
11/19/2020,264.6,268.65,268.65,268.65
11/18/2020,272.44,264.6,264.6,264.6
11/17/2020,271.09,272.44,272.44,272.44
11/16/2020,254.55,271.09,271.09,271.09
11/13/2020,245.21,254.55,254.55,254.55
11/12/2020,253.82,245.21,245.21,245.21
11/11/2020,255.97,253.82,253.82,253.82
11/10/2020,249.67,255.97,255.97,255.97
11/9/2020,218.58,249.67,249.67,249.67
11/6/2020,223.36,218.58,218.58,218.58
11/5/2020,223.45,223.36,223.36,223.36
11/4/2020,223.09,223.45,223.45,223.45
11/3/2020,223.09,223.09,223.09,223.09
11/2/2020,216.82,224.77,224.77,224.77
10/30/2020,216.41,216.82,216.82,216.82
10/29/2020,209.69,216.41,216.41,216.41
10/28/2020,218.92,209.69,209.69,209.69
10/27/2020,221.99,218.92,218.92,218.92
10/26/2020,229.96,221.99,221.99,221.99
10/23/2020,231.24,229.96,229.96,229.96
10/22/2020,222.01,231.24,231.24,231.24
10/21/2020,226.51,222.01,222.01,222.01
10/20/2020,223.97,226.51,226.51,226.51
10/19/2020,228.78,223.97,223.97,223.97
10/16/2020,234.18,228.78,228.78,228.78
10/15/2020,231.47,234.18,234.18,234.18
10/14/2020,230.76,231.47,231.47,231.47
10/13/2020,234.41,230.76,230.76,230.76
10/12/2020,233.68,234.41,234.41,234.41
10/9/2020,237.46,233.68,233.68,233.68
10/8/2020,228.82,237.46,237.46,237.46
10/7/2020,225.56,228.82,228.82,228.82
10/6/2020,229.05,225.56,225.56,225.56
10/5/2020,222.55,229.05,229.05,229.05
10/2/2020,220.36,222.55,222.55,222.55
10/1/2020,227.49,220.36,220.36,220.36
9/30/2020,228.03,227.49,227.49,227.49
9/29/2020,234.42,228.03,228.03,228.03
9/28/2020,229.09,234.42,234.42,234.42
9/25/2020,229.24,229.09,229.09,229.09
9/24/2020,229.05,229.24,229.24,229.24
9/23/2020,239.96,229.05,229.05,229.05
9/22/2020,242.45,239.96,239.96,239.96
9/21/2020,250.65,242.45,242.45,242.45
9/18/2020,253.58,250.65,250.65,250.65
9/17/2020,253.06,253.58,253.58,253.58
9/16/2020,243.22,253.06,253.06,253.06
9/15/2020,245.09,243.22,243.22,243.22
9/14/2020,243.58,245.09,245.09,245.09
9/11/2020,242.96,243.58,243.58,243.58
9/10/2020,252.21,242.96,242.96,242.96
9/9/2020,250.67,252.21,252.21,252.21
9/8/2020,260.32,250.67,250.67,250.67
9/4/2020,261.18,260.32,260.32,260.32
9/3/2020,262.95,261.18,261.18,261.18
9/2/2020,264.05,262.95,262.95,262.95
9/1/2020,266.5,264.05,264.05,264.05
8/31/2020,272.48,266.5,266.5,266.5
8/28/2020,267.52,272.48,272.48,272.48
8/27/2020,266.85,267.52,267.52,267.52
8/26/2020,272.94,266.85,266.85,266.85
8/25/2020,276.87,272.94,272.94,272.94
8/24/2020,269.47,276.87,276.87,276.87
8/21/2020,271.14,269.45,269.45,269.45
8/20/2020,276.99,271.15,271.15,271.15
