Date,Open,High,Low,Close
11/29/2021,"3,528.67","3,563.68","3,526.36","3,562.70"
11/26/2021,"3,576.11","3,576.11","3,554.88","3,564.09"
11/25/2021,"3,593.39","3,597.15","3,579.53","3,584.18"
11/24/2021,"3,590.02","3,602.74","3,575.29","3,592.70"
11/23/2021,"3,580.51","3,598.38","3,577.36","3,589.09"
11/22/2021,"3,562.76","3,585.19","3,562.75","3,582.08"
11/19/2021,"3,519.28","3,561.91","3,517.65","3,560.37"
11/18/2021,"3,531.49","3,537.98","3,513.11","3,520.71"
11/17/2021,"3,518.56","3,537.51","3,513.52","3,537.37"
11/16/2021,"3,530.46","3,549.77","3,517.81","3,521.79"
11/15/2021,"3,542.90","3,550.44","3,521.29","3,533.30"
11/12/2021,"3,534.15","3,543.65","3,527.39","3,539.10"
11/11/2021,"3,486.45","3,534.20","3,482.83","3,532.79"
11/10/2021,"3,498.94","3,498.94","3,448.44","3,492.46"
11/9/2021,"3,507.11","3,514.95","3,489.04","3,507.00"
11/8/2021,"3,491.97","3,507.27","3,484.24","3,498.63"
11/5/2021,"3,520.21","3,525.87","3,491.46","3,491.57"
11/4/2021,"3,505.89","3,527.95","3,503.01","3,526.87"
11/3/2021,"3,501.11","3,512.61","3,480.49","3,498.54"
11/2/2021,"3,543.38","3,559.05","3,477.66","3,505.63"
11/1/2021,"3,530.40","3,556.59","3,519.29","3,544.48"
10/29/2021,"3,519.33","3,547.34","3,502.80","3,547.34"
10/28/2021,"3,548.70","3,552.04","3,509.49","3,518.42"
10/27/2021,"3,589.86","3,589.86","3,553.13","3,562.31"
10/26/2021,"3,612.83","3,625.02","3,589.71","3,597.64"
10/25/2021,"3,574.26","3,611.09","3,564.21","3,609.86"
10/22/2021,"3,594.75","3,607.58","3,578.76","3,582.60"
10/21/2021,"3,590.05","3,610.96","3,576.35","3,594.78"
10/20/2021,"3,583.24","3,596.05","3,574.30","3,587.00"
10/19/2021,"3,562.30","3,596.79","3,560.62","3,593.15"
10/18/2021,"3,571.05","3,571.05","3,539.48","3,568.14"
10/15/2021,"3,551.99","3,578.77","3,542.69","3,572.37"
10/14/2021,"3,555.11","3,569.69","3,547.18","3,558.28"
10/13/2021,"3,543.49","3,569.13","3,515.65","3,561.76"
10/12/2021,"3,581.30","3,583.64","3,515.14","3,546.94"
10/11/2021,"3,600.36","3,614.70","3,586.75","3,591.71"
10/8/2021,"3,609.09","3,612.55","3,571.73","3,592.17"
9/30/2021,"3,541.93","3,572.43","3,541.93","3,568.17"
9/29/2021,"3,573.52","3,573.52","3,518.05","3,536.29"
9/28/2021,"3,577.89","3,610.92","3,568.82","3,602.22"
9/27/2021,"3,625.96","3,640.81","3,559.92","3,582.83"
9/24/2021,"3,637.87","3,651.43","3,607.79","3,613.07"
9/23/2021,"3,651.27","3,670.95","3,632.28","3,642.22"
9/22/2021,"3,563.21","3,629.45","3,560.50","3,628.49"
9/17/2021,"3,595.27","3,620.96","3,569.27","3,613.97"
9/16/2021,"3,664.84","3,677.92","3,606.73","3,607.09"
9/15/2021,"3,651.16","3,677.53","3,638.32","3,656.22"
9/14/2021,"3,709.63","3,723.85","3,655.63","3,662.60"
9/13/2021,"3,699.25","3,716.83","3,692.82","3,715.37"
9/10/2021,"3,691.19","3,722.87","3,681.64","3,703.11"
9/9/2021,"3,666.82","3,693.45","3,662.16","3,693.13"
9/8/2021,"3,673.40","3,695.32","3,661.00","3,675.19"
9/7/2021,"3,621.71","3,681.93","3,615.14","3,676.59"
9/6/2021,"3,580.14","3,626.29","3,580.14","3,621.86"
9/3/2021,"3,602.74","3,613.95","3,569.40","3,581.73"
9/2/2021,"3,559.90","3,597.37","3,557.68","3,597.04"
9/1/2021,"3,543.87","3,582.32","3,514.67","3,567.10"
8/31/2021,"3,519.02","3,543.94","3,496.39","3,543.94"
8/30/2021,"3,535.07","3,539.49","3,512.99","3,528.15"
8/27/2021,"3,494.42","3,530.19","3,493.38","3,522.16"
8/26/2021,"3,537.31","3,537.32","3,499.45","3,501.66"
8/25/2021,"3,517.92","3,540.39","3,510.07","3,540.38"
8/24/2021,"3,482.27","3,522.70","3,481.14","3,514.47"
8/23/2021,"3,436.80","3,481.25","3,436.67","3,477.13"
8/20/2021,"3,442.51","3,453.15","3,394.97","3,427.33"
8/19/2021,"3,475.30","3,480.46","3,446.01","3,465.55"
8/18/2021,"3,442.35","3,487.44","3,437.69","3,485.29"
8/17/2021,"3,512.11","3,531.72","3,438.12","3,446.98"
8/16/2021,"3,514.34","3,537.85","3,510.90","3,517.34"
8/13/2021,"3,514.47","3,540.08","3,500.80","3,516.30"
8/12/2021,"3,522.72","3,538.40","3,513.45","3,524.74"
8/11/2021,"3,527.11","3,544.09","3,524.04","3,532.62"
8/10/2021,"3,488.66","3,529.93","3,477.06","3,529.93"
8/9/2021,"3,441.75","3,502.84","3,438.70","3,494.63"
8/6/2021,"3,465.48","3,466.39","3,436.93","3,458.23"
8/5/2021,"3,461.72","3,486.16","3,449.39","3,466.55"
8/4/2021,"3,442.94","3,477.60","3,440.78","3,477.22"
8/3/2021,"3,446.78","3,470.66","3,435.46","3,447.99"
8/2/2021,"3,385.69","3,464.29","3,367.64","3,464.29"
7/30/2021,"3,398.20","3,404.88","3,370.45","3,397.36"
7/29/2021,"3,403.84","3,416.61","3,382.57","3,411.72"
7/28/2021,"3,355.82","3,385.54","3,312.72","3,361.59"
7/27/2021,"3,467.45","3,483.87","3,380.28","3,381.18"
7/26/2021,"3,538.01","3,538.01","3,424.74","3,467.44"
7/23/2021,"3,571.72","3,571.85","3,541.51","3,550.40"
7/22/2021,"3,563.66","3,576.47","3,558.29","3,574.73"
7/21/2021,"3,543.05","3,569.09","3,543.05","3,562.66"
7/20/2021,"3,515.07","3,538.64","3,509.19","3,536.79"
7/19/2021,"3,530.49","3,544.88","3,506.34","3,539.12"
7/16/2021,"3,559.53","3,566.00","3,537.73","3,539.30"
7/15/2021,"3,519.06","3,565.93","3,514.26","3,564.59"
7/14/2021,"3,560.83","3,560.83","3,525.49","3,528.50"
7/13/2021,"3,547.59","3,567.48","3,542.82","3,566.52"
7/12/2021,"3,545.20","3,565.03","3,527.39","3,547.84"
7/9/2021,"3,512.23","3,529.31","3,485.05","3,524.09"
7/8/2021,"3,557.22","3,558.68","3,521.06","3,525.50"
7/7/2021,"3,508.59","3,557.88","3,504.47","3,553.72"
7/6/2021,"3,533.13","3,538.35","3,496.93","3,530.26"
7/5/2021,"3,516.92","3,534.32","3,510.58","3,534.32"
7/2/2021,"3,569.89","3,569.89","3,514.34","3,518.76"
7/1/2021,"3,600.55","3,607.70","3,573.94","3,588.78"
6/30/2021,"3,572.62","3,594.12","3,569.50","3,591.20"
6/29/2021,"3,601.68","3,601.83","3,570.53","3,573.18"
6/28/2021,"3,612.25","3,614.36","3,594.22","3,606.37"
6/25/2021,"3,567.38","3,614.30","3,564.52","3,607.56"
6/24/2021,"3,568.58","3,570.49","3,548.82","3,566.65"
6/23/2021,"3,559.40","3,577.47","3,549.85","3,566.22"
6/22/2021,"3,539.79","3,560.19","3,536.81","3,557.41"
6/21/2021,"3,515.50","3,540.30","3,504.01","3,529.18"
6/18/2021,"3,520.50","3,535.62","3,503.18","3,525.10"
6/17/2021,"3,508.32","3,534.20","3,507.35","3,525.60"
6/16/2021,"3,556.71","3,561.09","3,513.56","3,518.33"
6/15/2021,"3,587.47","3,592.95","3,547.19","3,556.56"
6/11/2021,"3,614.11","3,614.40","3,587.15","3,589.75"
6/10/2021,"3,587.53","3,624.34","3,584.13","3,610.86"
6/9/2021,"3,576.80","3,598.71","3,572.64","3,591.40"
6/8/2021,"3,598.75","3,621.52","3,563.25","3,580.11"
6/7/2021,"3,597.14","3,600.38","3,581.90","3,599.54"
6/4/2021,"3,565.47","3,618.80","3,561.89","3,591.84"
6/3/2021,"3,595.42","3,618.51","3,584.21","3,584.21"
6/2/2021,"3,626.33","3,629.29","3,584.60","3,597.14"
6/1/2021,"3,608.60","3,626.07","3,581.91","3,624.71"
5/31/2021,"3,600.07","3,615.66","3,580.65","3,615.48"
5/28/2021,"3,610.77","3,622.18","3,582.36","3,600.78"
5/27/2021,"3,585.73","3,626.36","3,579.26","3,608.85"
5/26/2021,"3,586.84","3,603.49","3,585.37","3,593.36"
5/25/2021,"3,502.54","3,584.58","3,502.44","3,581.34"
5/24/2021,"3,486.27","3,498.30","3,469.87","3,497.28"
5/21/2021,"3,510.84","3,518.38","3,479.67","3,486.56"
5/20/2021,"3,500.88","3,517.74","3,486.07","3,506.94"
5/19/2021,"3,521.11","3,521.11","3,503.82","3,510.96"
5/18/2021,"3,520.65","3,529.01","3,510.86","3,529.01"
5/17/2021,"3,490.41","3,530.51","3,490.14","3,517.62"
5/14/2021,"3,436.09","3,490.64","3,422.57","3,490.38"
5/13/2021,"3,432.14","3,448.02","3,418.38","3,429.54"
5/12/2021,"3,429.75","3,466.37","3,428.39","3,462.75"
5/11/2021,"3,406.60","3,448.10","3,384.70","3,441.85"
5/10/2021,"3,423.59","3,429.74","3,401.93","3,427.99"
5/7/2021,"3,446.41","3,457.89","3,416.78","3,418.87"
5/6/2021,"3,446.07","3,471.24","3,426.85","3,441.28"
4/30/2021,"3,468.30","3,469.09","3,426.90","3,446.86"
4/29/2021,"3,458.08","3,478.23","3,447.59","3,474.90"
4/28/2021,"3,432.16","3,457.07","3,423.33","3,457.07"
4/27/2021,"3,440.09","3,443.85","3,417.26","3,442.61"
4/26/2021,"3,484.11","3,497.12","3,438.57","3,441.17"
4/23/2021,"3,462.09","3,482.36","3,456.33","3,474.17"
4/22/2021,"3,482.83","3,485.36","3,456.32","3,465.11"
4/21/2021,"3,456.30","3,481.25","3,450.11","3,472.93"
4/20/2021,"3,467.15","3,494.30","3,463.46","3,472.94"
4/19/2021,"3,427.55","3,479.01","3,414.36","3,477.55"
4/16/2021,"3,426.62","3,432.63","3,394.13","3,426.62"
4/15/2021,"3,409.61","3,409.61","3,373.09","3,398.99"
4/14/2021,"3,397.02","3,420.03","3,392.98","3,416.72"
4/13/2021,"3,411.29","3,425.39","3,387.90","3,396.47"
4/12/2021,"3,445.97","3,456.16","3,403.90","3,412.95"
4/9/2021,"3,450.68","3,475.45","3,442.14","3,450.68"
4/8/2021,"3,467.49","3,495.91","3,459.32","3,482.55"
4/7/2021,"3,483.42","3,483.42","3,453.19","3,479.63"
4/6/2021,"3,491.63","3,493.28","3,471.76","3,482.97"
4/2/2021,"3,472.63","3,487.59","3,462.83","3,484.39"
4/1/2021,"3,444.81","3,470.03","3,438.83","3,466.33"
3/31/2021,"3,452.21","3,452.21","3,420.83","3,441.91"
3/30/2021,"3,432.53","3,457.63","3,423.32","3,456.68"
3/29/2021,"3,429.63","3,449.83","3,409.89","3,435.30"
3/26/2021,"3,373.32","3,423.22","3,373.32","3,418.33"
3/25/2021,"3,355.07","3,382.23","3,344.97","3,363.59"
3/24/2021,"3,394.13","3,415.30","3,362.18","3,367.06"
3/23/2021,"3,445.34","3,445.42","3,390.05","3,411.51"
3/22/2021,"3,406.12","3,443.66","3,404.23","3,443.44"
3/19/2021,"3,423.87","3,439.52","3,389.29","3,404.66"
3/18/2021,"3,449.64","3,478.14","3,449.38","3,463.07"
3/17/2021,"3,435.73","3,454.06","3,410.28","3,445.55"
3/16/2021,"3,424.65","3,448.88","3,406.17","3,446.73"
3/15/2021,"3,441.88","3,457.49","3,392.51","3,419.95"
3/12/2021,"3,447.20","3,454.51","3,417.24","3,453.08"
3/11/2021,"3,369.90","3,436.83","3,369.90","3,436.83"
3/10/2021,"3,389.84","3,397.03","3,354.82","3,357.74"
3/9/2021,"3,415.34","3,429.15","3,328.31","3,359.29"
3/8/2021,"3,524.98","3,542.30","3,421.22","3,421.41"
3/5/2021,"3,463.31","3,523.57","3,456.67","3,501.99"
3/4/2021,"3,546.64","3,552.20","3,487.38","3,503.49"
