Date,Open,High,Low,Close
11/29/2021,23.135,23.415,22.73,22.799
11/26/2021,23.63,23.73,22.915,23.107
11/24/2021,23.64,23.695,23.4,23.496
11/23/2021,24.21,24.34,23.28,23.435
11/22/2021,24.67,24.955,24.14,24.297
11/19/2021,24.85,25.04,24.61,24.781
11/18/2021,25.15,25.23,24.73,24.9
11/17/2021,24.86,25.285,24.85,25.167
11/16/2021,25.135,25.49,24.825,24.944
11/15/2021,25.425,25.465,24.97,25.105
11/12/2021,25.35,25.47,24.925,25.346
11/11/2021,24.71,25.365,24.645,25.301
11/10/2021,24.375,25.22,24.04,24.772
11/9/2021,24.55,24.565,24.09,24.318
11/8/2021,24.285,24.59,24.13,24.542
11/5/2021,23.87,24.255,23.665,24.157
11/4/2021,23.53,24.115,23.485,23.911
11/3/2021,23.57,23.665,23.045,23.231
11/2/2021,24.13,24.14,23.43,23.507
11/1/2021,23.985,24.175,23.81,24.073
10/29/2021,24.135,24.14,23.705,23.949
10/28/2021,24.13,24.31,24.02,24.12
10/27/2021,24.22,24.33,23.905,24.191
10/26/2021,24.65,24.655,23.925,24.088
10/25/2021,24.395,24.695,24.365,24.592
10/22/2021,24.22,24.92,24.185,24.449
10/21/2021,24.37,24.55,24.07,24.17
10/20/2021,23.71,24.495,23.615,24.445
10/19/2021,23.25,24.18,23.22,23.883
10/18/2021,23.38,23.495,23.035,23.264
10/15/2021,23.565,23.645,23.1,23.349
10/14/2021,23.1,23.625,22.925,23.477
10/13/2021,22.57,23.285,22.48,23.17
10/12/2021,22.61,22.79,22.325,22.514
10/11/2021,22.685,22.83,22.495,22.665
10/8/2021,22.61,23.22,22.435,22.705
10/7/2021,22.64,22.84,22.385,22.658
10/6/2021,22.635,22.7,22.185,22.532
10/5/2021,22.725,22.73,22.38,22.608
10/4/2021,22.6,22.805,22.29,22.644
10/1/2021,22.185,22.6,21.99,22.536
9/30/2021,21.515,22.225,21.46,22.047
9/29/2021,22.475,22.565,21.41,21.485
9/28/2021,22.625,22.68,22.08,22.467
9/27/2021,22.395,22.865,22.39,22.694
9/24/2021,22.53,22.79,22.09,22.425
9/23/2021,22.695,22.88,22.465,22.679
9/22/2021,22.485,23.15,22.455,22.907
9/21/2021,22.265,22.72,22.21,22.611
9/20/2021,22.33,22.5,22.025,22.204
9/17/2021,22.91,23.13,22.305,22.337
9/16/2021,23.865,24,22.585,22.794
9/15/2021,23.865,23.94,23.67,23.801
9/14/2021,23.775,23.98,23.435,23.885
9/13/2021,23.79,23.89,23.36,23.796
9/10/2021,24.1,24.345,23.76,23.9
9/9/2021,23.995,24.355,23.865,24.177
9/8/2021,24.39,24.48,23.94,24.056
9/7/2021,24.765,24.895,24.21,24.373
9/3/2021,23.95,24.945,23.91,24.802
9/2/2021,24.2,24.275,23.815,23.918
9/1/2021,23.935,24.325,23.775,24.221
8/31/2021,24.065,24.27,23.83,24.006
8/30/2021,24.045,24.225,23.905,23.96
8/27/2021,23.565,24.135,23.305,24.062
8/26/2021,23.87,23.895,23.42,23.55
8/25/2021,23.875,23.91,23.59,23.775
8/24/2021,23.645,23.975,23.545,23.894
8/23/2021,22.985,23.705,22.925,23.656
8/20/2021,23.21,23.3,22.835,23.112
8/19/2021,23.5,23.515,23.08,23.23
8/18/2021,23.66,23.83,23.265,23.422
8/17/2021,23.84,23.955,23.565,23.659
8/16/2021,23.745,23.89,23.38,23.791
8/13/2021,23.155,23.83,23.13,23.779
8/12/2021,23.515,23.53,22.97,23.116
8/11/2021,23.325,23.565,23.19,23.488
8/10/2021,23.45,23.675,23.22,23.392
8/9/2021,24.34,24.38,22.275,23.269
8/6/2021,25.195,25.23,24.205,24.326
8/5/2021,25.425,25.565,25.115,25.292
8/4/2021,25.59,26.09,25.375,25.461
8/3/2021,25.47,25.665,25.27,25.582
8/2/2021,25.625,25.675,25.345,25.575
7/30/2021,25.6,25.685,25.395,25.547
7/29/2021,25.015,25.875,25,25.782
7/28/2021,24.73,25.06,24.655,24.877
7/27/2021,25.255,25.32,24.515,24.649
7/26/2021,25.27,25.51,25.175,25.318
7/23/2021,25.48,25.535,25.05,25.233
7/22/2021,25.33,25.515,25.06,25.381
7/21/2021,24.975,25.365,24.79,25.255
7/20/2021,25.24,25.315,24.84,24.995
7/19/2021,25.7,25.805,25.035,25.144
7/16/2021,26.43,26.55,25.64,25.795
7/15/2021,26.325,26.49,26.245,26.394
7/14/2021,26.055,26.575,26.01,26.271
7/13/2021,26.32,26.44,26.005,26.14
7/12/2021,26.185,26.375,25.93,26.239
7/9/2021,26.005,26.3,25.82,26.234
7/8/2021,26.265,26.31,25.875,25.987
7/7/2021,26.265,26.545,26.06,26.129
7/6/2021,26.575,26.91,26.1,26.174
7/2/2021,26.145,26.7,26.1,26.501
7/1/2021,26.25,26.525,26.045,26.1
6/30/2021,25.875,26.275,25.8,26.194
6/29/2021,26.2,26.21,25.56,25.872
6/28/2021,26.19,26.295,25.845,26.223
6/25/2021,26.01,26.38,25.97,26.087
6/24/2021,25.935,26.245,25.865,26.05
6/23/2021,25.835,26.37,25.8,26.111
6/22/2021,25.995,26.085,25.735,25.857
6/21/2021,25.865,26.135,25.58,26.025
6/18/2021,25.95,26.555,25.77,25.969
6/17/2021,27.005,27.32,25.82,25.856
6/16/2021,27.795,27.97,26.7,27.812
6/15/2021,28,28.03,27.485,27.693
6/14/2021,28.095,28.16,27.565,28.039
6/11/2021,28.145,28.445,28.025,28.146
6/10/2021,27.905,28.18,27.455,28.031
6/9/2021,27.735,28.145,27.62,28.002
6/8/2021,28.025,28.12,27.61,27.731
6/7/2021,27.91,28.085,27.595,28.018
6/4/2021,27.53,27.98,27.31,27.896
6/3/2021,28.295,28.37,27.09,27.477
6/2/2021,27.995,28.32,27.765,28.204
6/1/2021,28.175,28.71,27.93,28.102
5/28/2021,27.98,28.095,27.48,28.014
5/27/2021,27.765,27.995,27.575,27.94
5/26/2021,28.105,28.34,27.685,27.877
5/25/2021,27.88,28.16,27.545,28.056
5/24/2021,27.69,28.015,27.55,27.905
5/21/2021,27.87,28.195,27.265,27.486
5/20/2021,27.84,28.125,27.49,28.067
5/19/2021,28.3,28.365,27.425,28.025
5/18/2021,28.325,28.9,28.12,28.333
5/17/2021,27.515,28.435,27.44,28.274
5/14/2021,27.19,27.595,26.92,27.365
5/13/2021,27.095,27.33,26.78,27.059
5/12/2021,27.76,27.83,27.03,27.244
5/11/2021,27.4,27.78,27.18,27.667
5/10/2021,27.68,28.005,27.32,27.492
5/7/2021,27.45,27.8,27.23,27.477
5/6/2021,26.59,27.585,26.245,27.477
5/5/2021,26.595,26.71,26.165,26.522
5/4/2021,27.015,27.24,26.16,26.558
5/3/2021,25.99,27.115,25.85,26.96
4/30/2021,26.17,26.275,25.855,25.873
4/29/2021,26.28,26.545,25.73,26.053
4/28/2021,26.325,26.345,25.84,26.085
4/27/2021,26.275,26.515,26.1,26.41
4/26/2021,26.045,26.28,25.895,26.209
4/23/2021,26.195,26.47,25.89,26.075
4/22/2021,26.65,26.67,26.025,26.18
4/21/2021,25.88,26.73,25.795,26.57
4/20/2021,25.875,26.15,25.725,25.84
4/19/2021,26.055,26.28,25.67,25.837
4/16/2021,25.94,26.38,25.795,26.105
4/15/2021,25.48,26.07,25.38,25.964
4/14/2021,25.405,25.59,25.235,25.524
4/13/2021,24.83,25.54,24.68,25.426
4/12/2021,25.3,25.33,24.725,24.867
4/9/2021,25.53,25.555,25.01,25.325
4/8/2021,25.21,25.675,25.02,25.585
4/7/2021,25.21,25.33,24.895,25.247
4/6/2021,24.905,25.355,24.795,25.227
4/5/2021,25.05,25.14,24.66,24.78
4/1/2021,24.46,25.045,24.27,24.948
3/31/2021,24.045,24.565,23.74,24.532
3/30/2021,24.725,24.77,23.88,24.137
3/29/2021,25.105,25.15,24.48,24.771
3/26/2021,25.15,25.335,24.92,25.114
3/25/2021,25.17,25.255,24.435,25.047
3/24/2021,25.12,25.43,25.02,25.231
3/23/2021,25.85,25.915,25.05,25.227
3/22/2021,26.34,26.35,25.45,25.769
3/19/2021,26.15,26.4,25.925,26.321
3/18/2021,26.4,26.74,25.875,26.351
3/17/2021,26.005,26.615,25.805,26.058
3/16/2021,26.34,26.405,25.885,26.003
3/15/2021,26.07,26.39,25.845,26.288
3/12/2021,26.195,26.235,25.425,25.911
3/11/2021,26.315,26.545,25.885,26.193
3/10/2021,26.025,26.315,25.61,26.13
3/9/2021,25.17,26.22,25.09,26.183
3/8/2021,25.4,25.965,24.97,25.269
3/5/2021,25.385,25.505,24.845,25.287
3/4/2021,26.175,26.385,25.08,25.461
3/3/2021,26.86,26.915,25.875,26.387
3/2/2021,26.63,26.985,25.73,26.879
3/1/2021,26.7,27.175,26.51,26.678
2/26/2021,27.53,27.65,26.16,26.44
2/25/2021,28.03,28.275,27.295,27.637
2/24/2021,27.715,28.08,27.365,27.859
2/23/2021,28.25,28.425,27.285,27.688
2/22/2021,27.555,28.345,27.33,28.085
2/19/2021,27.11,27.71,26.105,27.254
2/18/2021,27.465,27.595,26.905,27.078
2/17/2021,27.31,27.49,26.915,27.315
2/16/2021,27.705,28.075,26.87,27.325
2/12/2021,27.02,27.5,26.91,27.328
2/11/2021,27.095,27.35,26.75,27.047
2/10/2021,27.35,27.595,26.88,27.078
2/9/2021,27.37,27.875,27.13,27.402
2/8/2021,27.2,27.7,26.93,27.576
2/5/2021,26.42,27.105,26.255,27.019
2/4/2021,26.96,27.015,25.935,26.234
2/3/2021,26.735,27.26,26.545,26.889
2/2/2021,29.095,29.15,26.35,26.402
2/1/2021,28.425,30.35,28.155,29.418
1/29/2021,26.625,27.77,26.15,26.914
1/28/2021,25.33,27.1,24.895,25.922
1/27/2021,25.53,25.545,24.715,25.389
1/26/2021,25.395,25.72,25.23,25.538
1/25/2021,25.535,25.835,25.205,25.484
1/22/2021,26.025,26.045,25.05,25.556
1/21/2021,25.91,26.13,25.7,25.854
1/20/2021,25.29,25.96,25.06,25.766
1/19/2021,24.99,25.48,24.99,25.32
1/15/2021,25.61,25.865,24.61,24.866
1/14/2021,25.29,25.99,25.095,25.802
1/13/2021,25.655,25.785,25.17,25.572
1/12/2021,25.015,25.745,25,25.435
1/11/2021,25.47,25.595,24.365,25.284
1/8/2021,27.28,27.335,24.53,24.637
1/7/2021,27.41,27.495,27.02,27.261
1/6/2021,27.72,28.105,26.7,27.042
1/5/2021,27.355,27.85,27.15,27.64
1/4/2021,26.77,27.76,26.73,26.412
12/31/2020,26.835,26.88,26.345,26.412
12/30/2020,26.325,26.835,26.26,26.573
12/29/2020,26.45,26.77,26.075,26.217
12/28/2020,26.13,26.98,26,26.539
12/24/2020,25.74,26.08,25.535,25.908
12/23/2020,25.315,25.96,25.185,25.921
12/22/2020,26.42,26.815,25.225,25.535
12/21/2020,26.11,27.635,25.12,26.379
12/18/2020,26.255,26.35,25.865,26.033
12/17/2020,25.5,26.305,25.335,26.181
12/16/2020,24.645,25.64,24.575,25.052
12/15/2020,23.965,24.7,23.94,24.644
12/14/2020,24.14,24.365,23.755,24.047
12/11/2020,24.135,24.245,23.69,24.092
12/10/2020,24.055,24.43,23.825,24.094
12/9/2020,24.735,24.755,23.695,23.99
12/8/2020,24.655,25.015,24.55,24.736
12/7/2020,24.31,24.94,23.63,24.794
12/4/2020,24.195,24.585,24.065,24.253
12/3/2020,24.22,24.42,23.85,24.137
12/2/2020,24.13,24.455,23.68,24.08
12/1/2020,22.7,24.18,22.665,24.09
11/30/2020,22.78,22.83,21.96,22.593
11/27/2020,23.43,23.44,22.4,22.639
11/25/2020,23.29,23.545,23.115,23.362
11/24/2020,23.63,23.65,22.935,23.3
11/23/2020,24.225,24.455,23.46,23.633
11/20/2020,24.115,24.6,23.955,24.363
11/19/2020,24.38,24.425,23.67,24.048
11/18/2020,24.565,24.78,24.235,24.448
11/17/2020,24.88,24.9,24.435,24.651
11/16/2020,24.8,25.155,24.255,24.802
11/13/2020,24.365,24.9,24.215,24.775
11/12/2020,24.36,24.475,24.09,24.306
11/11/2020,24.305,24.51,23.81,24.267
11/10/2020,24.18,24.58,23.95,24.462
11/9/2020,25.86,26.135,23.6,23.701
11/6/2020,25.45,25.975,25.01,25.662
11/5/2020,23.98,25.54,23.955,25.191
11/4/2020,24.29,24.62,23.26,23.893
11/3/2020,24.17,24.485,23.975,24.334
11/2/2020,23.635,24.26,23.46,24.033
10/30/2020,23.35,23.91,23.23,23.646
10/29/2020,23.44,23.65,22.625,23.36
10/28/2020,24.495,24.675,23.06,23.359
10/27/2020,24.385,24.76,24.265,24.57
10/26/2020,24.75,24.765,24.145,24.42
10/23/2020,24.835,24.98,24.5,24.675
10/22/2020,25.18,25.225,24.46,24.709
10/21/2020,24.795,25.425,24.775,25.241
10/20/2020,24.485,25.06,24.405,24.98
10/19/2020,24.29,25.12,24.215,24.698
10/16/2020,24.43,24.66,24.185,24.405
10/15/2020,24.37,24.44,23.65,24.224
10/14/2020,24.24,24.725,23.93,24.395
10/13/2020,25.24,25.31,24.015,24.129
10/12/2020,25.28,25.71,24.905,25.271
10/9/2020,23.97,25.33,23.965,25.108
10/8/2020,23.925,24.355,23.775,23.876
10/7/2020,23.16,24.12,23.09,23.896
10/6/2020,24.52,24.65,22.965,23.921
