Date,Open,High,Low,Close
11/29/2021,0.00107,0.00132,0.00065,0.00105
11/26/2021,0.00089,0.00112,0.00088,0.00105
11/25/2021,0.00088,0.00089,0.00066,0.00089
11/24/2021,0.00063,0.00089,0.00060,0.00089
11/23/2021,0.00068,0.00109,0.00058,0.00063
11/22/2021,0.00114,0.00124,0.00063,0.00068
11/19/2021,0.00058,0.00117,0.00043,0.00113
11/18/2021,0.00053,0.00107,0.00038,0.00107
11/17/2021,0.00056,0.00079,0.00050,0.00053
11/16/2021,0.00053,0.00071,0.00048,0.00055
11/15/2021,0.00053,0.00068,0.00050,0.00053
11/12/2021,0.00056,0.00063,0.00048,0.00053
11/10/2021,0.00048,0.00058,0.00038,0.00056
11/9/2021,0.00043,0.00051,0.00033,0.00048
11/8/2021,0.00043,0.00051,0.00033,0.00043
11/5/2021,0.00061,0.00061,0.00035,0.00043
11/4/2021,0.00051,0.00061,0.00040,0.00061
11/3/2021,0.00051,0.00056,0.00040,0.00050
11/2/2021,0.00048,0.00058,0.00043,0.00048
11/1/2021,0.00063,0.00063,0.00045,0.00053
10/29/2021,0.00058,0.00066,0.00053,0.00063
10/28/2021,0.00061,0.00063,0.00050,0.00058
10/27/2021,0.00053,0.00063,0.00050,0.00061
10/26/2021,0.00058,0.00063,0.00045,0.00058
10/25/2021,0.00046,0.00061,0.00043,0.00056
10/22/2021,0.00043,0.00071,0.00038,0.00051
10/21/2021,0.00043,0.00051,0.00035,0.00043
10/20/2021,0.00045,0.00051,0.00040,0.00045
10/19/2021,0.00043,0.00058,0.00038,0.00046
10/18/2021,0.00043,0.00046,0.00018,0.00043
10/15/2021,0.00023,0.00043,0.00003,0.00040
10/14/2021,0.00020,0.00036,0.00003,0.00023
10/13/2021,0.00028,0.00028,0.00013,0.00015
10/12/2021,0.00020,0.00028,0.00018,0.00025
10/10/2021,0.00020,0.00020,0.00020,0.00020
10/8/2021,0.00025,0.00030,0.00010,0.00020
10/7/2021,0.00073,0.00074,0.00023,0.00023
10/6/2021,0.00108,0.00127,0.00050,0.00053
10/5/2021,0.00107,0.00124,0.00100,0.00109
10/4/2021,0.00084,0.00208,0.00060,0.00105
10/1/2021,0.00055,0.00099,0.00043,0.00074
9/30/2021,0.00045,0.00063,0.00035,0.00045
9/29/2021,0.00066,0.00076,0.00043,0.00048
9/28/2021,0.00053,0.00084,0.00053,0.00065
9/27/2021,0.00058,0.00063,0.00048,0.00051
9/24/2021,0.00053,0.00063,0.00010,0.00058
9/23/2021,0.00050,0.00056,0.00040,0.00053
9/22/2021,0.00053,0.00053,0.00038,0.00048
9/21/2021,0.00056,0.00061,0.00048,0.00053
9/20/2021,0.00058,0.00061,0.00045,0.00058
9/17/2021,0.00060,0.00061,0.00043,0.00056
9/16/2021,0.00048,0.00058,0.00035,0.00058
9/15/2021,0.00043,0.00053,0.00040,0.00046
9/14/2021,0.00056,0.00058,0.00030,0.00043
9/13/2021,0.00053,0.00061,0.00043,0.00051
9/10/2021,0.00056,0.00061,0.00046,0.00058
9/9/2021,0.00046,0.00058,0.00038,0.00045
9/8/2021,0.00038,0.00051,0.00033,0.00043
9/7/2021,0.00036,0.00046,0.00035,0.00038
9/5/2021,0.00036,0.00036,0.00035,0.00035
9/3/2021,0.00038,0.00046,0.00033,0.00036
9/2/2021,0.00038,0.00051,0.00030,0.00035
9/1/2021,0.00035,0.00046,0.00028,0.00043
8/31/2021,0.00035,0.00041,0.00023,0.00036
8/30/2021,0.00036,0.00041,0.00028,0.00038
8/27/2021,0.00035,0.00041,0.00028,0.00038
8/26/2021,0.00033,0.00038,0.00025,0.00033
8/25/2021,0.00033,0.00043,0.00030,0.00036
8/24/2021,0.00041,0.00043,0.00025,0.00033
8/23/2021,0.00038,0.00046,0.00033,0.00040
8/20/2021,0.00025,0.00041,0.00025,0.00038
8/19/2021,0.00028,0.00041,0.00020,0.00033
8/18/2021,0.00038,0.00041,0.00025,0.00028
8/17/2021,0.00043,0.00046,0.00030,0.00036
